EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 PP   : daily Sea level pressure in 0.1 hPa
23-27 Q_PP : quality code for PP (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, KASSEL (STAID: 480).
Blended and updated with sources: 102275 910438 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   PP, Q_PP
102275,19510702,10236,    0
102275,19510703,10183,    0
102275,19510704,10118,    0
102275,19510705,10188,    0
102275,19510706,10193,    0
102275,19510707,10177,    0
102275,19510708,10125,    0
102275,19510709,10101,    0
102275,19510710,10142,    0
102275,19510711,10118,    0
102275,19510712,10171,    0
102275,19510713,10174,    0
102275,19510714,10180,    0
102275,19510715,10165,    0
102275,19510716,10225,    0
102275,19510717,10246,    0
102275,19510718,10214,    0
102275,19510719,10230,    0
102275,19510720,10192,    0
102275,19510721,10231,    0
102275,19510722,10173,    0
102275,19510723,10098,    0
102275,19510724,10126,    0
102275,19510725,10190,    0
102275,19510726,10227,    0
102275,19510727,10250,    0
102275,19510728,10235,    0
102275,19510729,10210,    0
102275,19510730,10197,    0
102275,19510731,10169,    0
102275,19510801,10150,    0
102275,19510802,10175,    0
102275,19510803,10189,    0
102275,19510804,10133,    0
102275,19510805,10130,    0
102275,19510806,10125,    0
102275,19510807,10095,    0
102275,19510808,10038,    0
102275,19510809,10008,    0
102275,19510810,10103,    0
102275,19510811,10128,    0
102275,19510812,10083,    0
102275,19510813,10125,    0
102275,19510814,10165,    0
102275,19510815,10192,    0
102275,19510816,10201,    0
102275,19510817,10212,    0
102275,19510818,10194,    0
102275,19510819,10134,    0
102275,19510820,10145,    0
102275,19510821,10217,    0
102275,19510822,10222,    0
102275,19510823,10209,    0
102275,19510824,10188,    0
102275,19510825,10136,    0
102275,19510826,10101,    0
102275,19510827,10096,    0
102275,19510828,10125,    0
102275,19510829,10143,    0
102275,19510830,10113,    0
102275,19510831,10132,    0
102275,19510901,10138,    0
102275,19510902,10108,    0
102275,19510903,10114,    0
102275,19510904,10252,    0
102275,19510905,10242,    0
102275,19510906,10189,    0
102275,19510907,10185,    0
102275,19510908,10183,    0
102275,19510909,10166,    0
102275,19510910,10176,    0
102275,19510911,10176,    0
102275,19510912,10167,    0
102275,19510913,10123,    0
102275,19510914,10159,    0
102275,19510915,10195,    0
102275,19510916,10193,    0
102275,19510917,10200,    0
102275,19510918,10190,    0
102275,19510919,10167,    0
102275,19510920,10244,    0
102275,19510921,10279,    0
102275,19510922,10235,    0
102275,19510923,10138,    0
102275,19510924,10139,    0
102275,19510925,10160,    0
102275,19510926,10114,    0
102275,19510927,10169,    0
102275,19510928,10157,    0
102275,19510929,10202,    0
102275,19510930,10216,    0
102275,19511001,10194,    0
102275,19511002,10236,    0
102275,19511003,10279,    0
102275,19511004,10244,    0
102275,19511005,10200,    0
102275,19511006,10233,    0
102275,19511007,10261,    0
102275,19511008,10284,    0
102275,19511009,10300,    0
102275,19511010,10276,    0
102275,19511011,10250,    0
102275,19511012,10217,    0
102275,19511013,10232,    0
102275,19511014,10243,    0
102275,19511015,10281,    0
102275,19511016,10297,    0
102275,19511017,10255,    0
102275,19511018,10224,    0
102275,19511019,10144,    0
102275,19511020,10155,    0
102275,19511021,10148,    0
102275,19511022,10142,    0
102275,19511023,10208,    0
102275,19511024,10256,    0
102275,19511025,10235,    0
102275,19511026,10212,    0
102275,19511027,10211,    0
102275,19511028,10215,    0
102275,19511029,10221,    0
102275,19511030,10203,    0
102275,19511031,10118,    0
102275,19511101,10082,    0
102275,19511102,10123,    0
102275,19511103,10057,    0
102275,19511104,10096,    0
102275,19511105,10130,    0
102275,19511106,10122,    0
102275,19511107,10059,    0
102275,19511108, 9966,    0
102275,19511109, 9974,    0
102275,19511110,10024,    0
102275,19511111,10030,    0
102275,19511112, 9942,    0
102275,19511113, 9938,    0
102275,19511114,10025,    0
102275,19511115,10166,    0
102275,19511116,10154,    0
102275,19511117,10096,    0
102275,19511118,10042,    0
102275,19511119,10015,    0
102275,19511120,10069,    0
102275,19511121, 9963,    0
102275,19511122,10012,    0
102275,19511123,10065,    0
102275,19511124,10033,    0
102275,19511125,10029,    0
102275,19511126,10257,    0
102275,19511127,10337,    0
102275,19511128,10228,    0
102275,19511129,10224,    0
102275,19511130,10222,    0
102275,19511201,10200,    0
102275,19511202,10180,    0
102275,19511203,10199,    0
102275,19511204,10196,    0
102275,19511205,10205,    0
102275,19511206,10119,    0
102275,19511207,10134,    0
102275,19511208,10146,    0
102275,19511209,10000,    0
102275,19511210,10057,    0
102275,19511211,10261,    0
102275,19511212,10346,    0
102275,19511213,10310,    0
102275,19511214,10291,    0
102275,19511215,10261,    0
102275,19511216,10222,    0
102275,19511217,10265,    0
