EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 DD   : daily Wind direction in degrees
23-27 Q_DD : quality code for DD (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, OSLO BLINDERN (STAID: 193).
Blended and updated with sources: 114725 901492 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   DD, Q_DD
114725,19310719,-9999,    9
114725,19310720,-9999,    9
114725,19310721,-9999,    9
114725,19310722,-9999,    9
114725,19310723,-9999,    9
114725,19310724,-9999,    9
114725,19310725,-9999,    9
114725,19310726,-9999,    9
114725,19310727,-9999,    9
114725,19310728,-9999,    9
114725,19310729,-9999,    9
114725,19310730,-9999,    9
114725,19310731,-9999,    9
114725,19310801,-9999,    9
114725,19310802,-9999,    9
114725,19310803,-9999,    9
114725,19310804,-9999,    9
114725,19310805,-9999,    9
114725,19310806,-9999,    9
114725,19310807,-9999,    9
114725,19310808,-9999,    9
114725,19310809,-9999,    9
114725,19310810,-9999,    9
114725,19310811,-9999,    9
114725,19310812,-9999,    9
114725,19310813,-9999,    9
114725,19310814,-9999,    9
114725,19310815,-9999,    9
114725,19310816,-9999,    9
114725,19310817,-9999,    9
114725,19310818,-9999,    9
114725,19310819,-9999,    9
114725,19310820,-9999,    9
114725,19310821,-9999,    9
114725,19310822,-9999,    9
114725,19310823,-9999,    9
114725,19310824,-9999,    9
114725,19310825,-9999,    9
114725,19310826,-9999,    9
114725,19310827,-9999,    9
114725,19310828,-9999,    9
114725,19310829,-9999,    9
114725,19310830,-9999,    9
