EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 FX   : daily Wind gust in 0.1 m/s
23-27 Q_FX : quality code for FX (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, DRESDEN WAHNSDORF (STAID: 43).
Blended and updated with sources: 115682 115740 910488 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   FX, Q_FX
115740,19170718,-9999,    9
115740,19170719,-9999,    9
115740,19170720,-9999,    9
115740,19170721,-9999,    9
115740,19170722,-9999,    9
115740,19170723,-9999,    9
115740,19170724,-9999,    9
115740,19170725,-9999,    9
115740,19170726,-9999,    9
115740,19170727,-9999,    9
115740,19170728,-9999,    9
115740,19170729,-9999,    9
115740,19170730,-9999,    9
115740,19170731,-9999,    9
115740,19170801,-9999,    9
115740,19170802,-9999,    9
115740,19170803,-9999,    9
115740,19170804,-9999,    9
115740,19170805,-9999,    9
115740,19170806,-9999,    9
115740,19170807,-9999,    9
115740,19170808,-9999,    9
115740,19170809,-9999,    9
115740,19170810,-9999,    9
115740,19170811,-9999,    9
115740,19170812,-9999,    9
115740,19170813,-9999,    9
115740,19170814,-9999,    9
115740,19170815,-9999,    9
115740,19170816,-9999,    9
115740,19170817,-9999,    9
115740,19170818,-9999,    9
115740,19170819,-9999,    9
115740,19170820,-9999,    9
115740,19170821,-9999,    9
115740,19170822,-9999,    9
115740,19170823,-9999,    9
115740,19170824,-9999,    9
115740,19170825,-9999,    9
115740,19170826,-9999,    9
115740,19170827,-9999,    9
115740,19170828,-9999,    9
115740,19170829,-9999,    9
115740,19170830,-9999,    9
115740,19170831,-9999,    9
115740,19170901,-9999,    9
115740,19170902,-9999,    9
115740,19170903,-9999,    9
115740,19170904,-9999,    9
115740,19170905,-9999,    9
115740,19170906,-9999,    9
115740,19170907,-9999,    9
115740,19170908,-9999,    9
115740,19170909,-9999,    9
115740,19170910,-9999,    9
115740,19170911,-9999,    9
115740,19170912,-9999,    9
115740,19170913,-9999,    9
115740,19170914,-9999,    9
115740,19170915,-9999,    9
115740,19170916,-9999,    9
115740,19170917,-9999,    9
115740,19170918,-9999,    9
115740,19170919,-9999,    9
115740,19170920,-9999,    9
115740,19170921,-9999,    9
115740,19170922,-9999,    9
115740,19170923,-9999,    9
115740,19170924,-9999,    9
115740,19170925,-9999,    9
115740,19170926,-9999,    9
115740,19170927,-9999,    9
115740,19170928,-9999,    9
115740,19170929,-9999,    9
115740,19170930,-9999,    9
115740,19171001,-9999,    9
115740,19171002,-9999,    9
115740,19171003,-9999,    9
115740,19171004,-9999,    9
115740,19171005,-9999,    9
115740,19171006,-9999,    9
115740,19171007,-9999,    9
115740,19171008,-9999,    9
115740,19171009,-9999,    9
115740,19171010,-9999,    9
115740,19171011,-9999,    9
115740,19171012,-9999,    9
115740,19171013,-9999,    9
115740,19171014,-9999,    9
115740,19171015,-9999,    9
115740,19171016,-9999,    9
115740,19171017,-9999,    9
115740,19171018,-9999,    9
115740,19171019,-9999,    9
115740,19171020,-9999,    9
115740,19171021,-9999,    9
115740,19171022,-9999,    9
115740,19171023,-9999,    9
115740,19171024,-9999,    9
115740,19171025,-9999,    9
115740,19171026,-9999,    9
115740,19171027,-9999,    9
115740,19171028,-9999,    9
115740,19171029,-9999,    9
115740,19171030,-9999,    9
115740,19171031,-9999,    9
115740,19171101,-9999,    9
115740,19171102,-9999,    9
115740,19171103,-9999,    9
115740,19171104,-9999,    9
115740,19171105,-9999,    9
115740,19171106,-9999,    9
115740,19171107,-9999,    9
115740,19171108,-9999,    9
115740,19171109,-9999,    9
115740,19171110,-9999,    9
115740,19171111,-9999,    9
115740,19171112,-9999,    9
115740,19171113,-9999,    9
115740,19171114,-9999,    9
115740,19171115,-9999,    9
115740,19171116,-9999,    9
115740,19171117,-9999,    9
115740,19171118,-9999,    9
115740,19171119,-9999,    9
115740,19171120,-9999,    9
115740,19171121,-9999,    9
115740,19171122,-9999,    9
115740,19171123,-9999,    9
115740,19171124,-9999,    9
115740,19171125,-9999,    9
115740,19171126,-9999,    9
115740,19171127,-9999,    9
115740,19171128,-9999,    9
115740,19171129,-9999,    9
115740,19171130,-9999,    9
115740,19171201,-9999,    9
115740,19171202,-9999,    9
115740,19171203,-9999,    9
115740,19171204,-9999,    9
115740,19171205,-9999,    9
115740,19171206,-9999,    9
115740,19171207,-9999,    9
115740,19171208,-9999,    9
115740,19171209,-9999,    9
115740,19171210,-9999,    9
115740,19171211,-9999,    9
115740,19171212,-9999,    9
115740,19171213,-9999,    9
115740,19171214,-9999,    9
115740,19171215,-9999,    9
115740,19171216,-9999,    9
115740,19171217,-9999,    9
115740,19171218,-9999,    9
115740,19171219,-9999,    9
115740,19171220,-9999,    9
115740,19171221,-9999,    9
115740,19171222,-9999,    9
115740,19171223,-9999,    9
115740,19171224,-9999,    9
115740,19171225,-9999,    9
115740,19171226,-9999,    9
115740,19171227,-9999,    9
115740,19171228,-9999,    9
115740,19171229,-9999,    9
115740,19171230,-9999,    9
115740,19171231,-9999,    9
115740,19180101,-9999,    9
115740,19180102,-9999,    9
115740,19180103,-9999,    9
115740,19180104,-9999,    9
115740,19180105,-9999,    9
115740,19180106,-9999,    9
115740,19180107,-9999,    9
115740,19180108,-9999,    9
115740,19180109,-9999,    9
115740,19180110,-9999,    9
115740,19180111,-9999,    9
115740,19180112,-9999,    9
115740,19180113,-9999,    9
115740,19180114,-9999,    9
115740,19180115,-9999,    9
115740,19180116,-9999,    9
115740,19180117,-9999,    9
115740,19180118,-9999,    9
115740,19180119,-9999,    9
115740,19180120,-9999,    9
115740,19180121,-9999,    9
115740,19180122,-9999,    9
115740,19180123,-9999,    9
115740,19180124,-9999,    9
115740,19180125,-9999,    9
115740,19180126,-9999,    9
115740,19180127,-9999,    9
115740,19180128,-9999,    9
115740,19180129,-9999,    9
115740,19180130,-9999,    9
115740,19180131,-9999,    9
115740,19180201,-9999,    9
115740,19180202,-9999,    9
115740,19180203,-9999,    9
115740,19180204,-9999,    9
115740,19180205,-9999,    9
115740,19180206,-9999,    9
115740,19180207,-9999,    9
115740,19180208,-9999,    9
115740,19180209,-9999,    9
115740,19180210,-9999,    9
115740,19180211,-9999,    9
115740,19180212,-9999,    9
115740,19180213,-9999,    9
115740,19180214,-9999,    9
115740,19180215,-9999,    9
115740,19180216,-9999,    9
115740,19180217,-9999,    9
115740,19180218,-9999,    9
115740,19180219,-9999,    9
115740,19180220,-9999,    9
115740,19180221,-9999,    9
115740,19180222,-9999,    9
115740,19180223,-9999,    9
115740,19180224,-9999,    9
115740,19180225,-9999,    9
115740,19180226,-9999,    9
115740,19180227,-9999,    9
115740,19180228,-9999,    9
115740,19180301,-9999,    9
115740,19180302,-9999,    9
115740,19180303,-9999,    9
115740,19180304,-9999,    9
115740,19180305,-9999,    9
115740,19180306,-9999,    9
115740,19180307,-9999,    9
115740,19180308,-9999,    9
115740,19180309,-9999,    9
115740,19180310,-9999,    9
115740,19180311,-9999,    9
115740,19180312,-9999,    9
115740,19180313,-9999,    9
115740,19180314,-9999,    9
115740,19180315,-9999,    9
115740,19180316,-9999,    9
115740,19180317,-9999,    9
115740,19180318,-9999,    9
115740,19180319,-9999,    9
115740,19180320,-9999,    9
115740,19180321,-9999,    9
115740,19180322,-9999,    9
115740,19180323,-9999,    9
115740,19180324,-9999,    9
115740,19180325,-9999,    9
115740,19180326,-9999,    9
115740,19180327,-9999,    9
115740,19180328,-9999,    9
115740,19180329,-9999,    9
115740,19180330,-9999,    9
115740,19180331,-9999,    9
115740,19180401,-9999,    9
115740,19180402,-9999,    9
115740,19180403,-9999,    9
115740,19180404,-9999,    9
115740,19180405,-9999,    9
115740,19180406,-9999,    9
115740,19180407,-9999,    9
115740,19180408,-9999,    9
115740,19180409,-9999,    9
115740,19180410,-9999,    9
115740,19180411,-9999,    9
115740,19180412,-9999,    9
115740,19180413,-9999,    9
115740,19180414,-9999,    9
115740,19180415,-9999,    9
115740,19180416,-9999,    9
115740,19180417,-9999,    9
115740,19180418,-9999,    9
115740,19180419,-9999,    9
115740,19180420,-9999,    9
115740,19180421,-9999,    9
115740,19180422,-9999,    9
115740,19180423,-9999,    9
115740,19180424,-9999,    9
115740,19180425,-9999,    9
115740,19180426,-9999,    9
115740,19180427,-9999,    9
115740,19180428,-9999,    9
115740,19180429,-9999,    9
115740,19180430,-9999,    9
115740,19180501,-9999,    9
115740,19180502,-9999,    9
115740,19180503,-9999,    9
115740,19180504,-9999,    9
115740,19180505,-9999,    9
115740,19180506,-9999,    9
115740,19180507,-9999,    9
115740,19180508,-9999,    9
115740,19180509,-9999,    9
115740,19180510,-9999,    9
115740,19180511,-9999,    9
115740,19180512,-9999,    9
115740,19180513,-9999,    9
115740,19180514,-9999,    9
115740,19180515,-9999,    9
115740,19180516,-9999,    9
115740,19180517,-9999,    9
115740,19180518,-9999,    9
115740,19180519,-9999,    9
115740,19180520,-9999,    9
115740,19180521,-9999,    9
115740,19180522,-9999,    9
115740,19180523,-9999,    9
115740,19180524,-9999,    9
115740,19180525,-9999,    9
115740,19180526,-9999,    9
115740,19180527,-9999,    9
115740,19180528,-9999,    9
115740,19180529,-9999,    9
115740,19180530,-9999,    9
115740,19180531,-9999,    9
115740,19180601,-9999,    9
115740,19180602,-9999,    9
115740,19180603,-9999,    9
115740,19180604,-9999,    9
115740,19180605,-9999,    9
115740,19180606,-9999,    9
115740,19180607,-9999,    9
115740,19180608,-9999,    9
115740,19180609,-9999,    9
115740,19180610,-9999,    9
115740,19180611,-9999,    9
115740,19180612,-9999,    9
115740,19180613,-9999,    9
115740,19180614,-9999,    9
115740,19180615,-9999,    9
115740,19180616,-9999,    9
115740,19180617,-9999,    9
115740,19180618,-9999,    9
115740,19180619,-9999,    9
115740,19180620,-9999,    9
115740,19180621,-9999,    9
115740,19180622,-9999,    9
115740,19180623,-9999,    9
115740,19180624,-9999,    9
115740,19180625,-9999,    9
115740,19180626,-9999,    9
115740,19180627,-9999,    9
115740,19180628,-9999,    9
115740,19180629,-9999,    9
115740,19180630,-9999,    9
115740,19180701,-9999,    9
115740,19180702,-9999,    9
115740,19180703,-9999,    9
115740,19180704,-9999,    9
115740,19180705,-9999,    9
115740,19180706,-9999,    9
115740,19180707,-9999,    9
115740,19180708,-9999,    9
115740,19180709,-9999,    9
115740,19180710,-9999,    9
