EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 FG   : daily Wind speed in 0.1 m/s
23-27 Q_FG : quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, MONTELIMAR (STAID: 786).
Blended and updated with sources: 175640 907577 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   FG, Q_FG
175640,19380803,    0,    0
175640,19380804,   50,    0
175640,19380805,   50,    0
175640,19380806,   50,    0
175640,19380807,   50,    0
175640,19380808,   50,    0
175640,19380809,   60,    0
175640,19380810,   40,    0
175640,19380811,   40,    0
175640,19380812,   60,    0
175640,19380813,   60,    0
175640,19380814,   80,    0
175640,19380815,   70,    0
175640,19380816,   40,    0
175640,19380817,   40,    0
175640,19380818,   60,    0
175640,19380819,   70,    0
175640,19380820,   60,    0
175640,19380821,  100,    0
175640,19380822,   80,    0
175640,19380823,   70,    0
175640,19380824,   60,    0
175640,19380825,   90,    0
175640,19380826,   80,    0
175640,19380827,   70,    0
175640,19380828,   70,    0
175640,19380829,   40,    0
175640,19380830,  110,    0
175640,19380831,  110,    0
175640,19380901,   70,    0
175640,19380902,   40,    0
175640,19380903,    0,    0
175640,19380904,   70,    0
175640,19380905,   80,    0
175640,19380906,   50,    0
175640,19380907,   30,    0
175640,19380908,   80,    0
175640,19380909,   40,    0
175640,19380910,    0,    0
175640,19380911,   30,    0
175640,19380912,   80,    0
175640,19380913,   20,    0
175640,19380914,    0,    0
175640,19380915,   80,    0
175640,19380916,  100,    0
175640,19380917,   20,    0
175640,19380918,   20,    0
175640,19380919,    0,    0
175640,19380920,    0,    0
175640,19380921,   30,    0
175640,19380922,   30,    0
175640,19380923,   20,    0
175640,19380924,   40,    0
175640,19380925,    0,    0
175640,19380926,   20,    0
175640,19380927,    0,    0
175640,19380928,   50,    0
175640,19380929,    0,    0
175640,19380930,   50,    0
175640,19381001,   20,    0
175640,19381002,    0,    0
175640,19381003,   20,    0
175640,19381004,   10,    0
175640,19381005,   10,    0
175640,19381006,   20,    0
175640,19381007,   30,    0
175640,19381008,   60,    0
175640,19381009,    0,    0
175640,19381010,   30,    0
175640,19381011,   80,    0
175640,19381012,   40,    0
175640,19381013,   30,    0
175640,19381014,   20,    0
175640,19381015,   40,    0
175640,19381016,   30,    0
175640,19381017,    0,    0
175640,19381018,    0,    0
175640,19381019,   90,    0
175640,19381020,  100,    0
175640,19381021,    0,    0
175640,19381022,   30,    0
175640,19381023,    0,    0
175640,19381024,   20,    0
175640,19381025,   30,    0
175640,19381026,   30,    0
175640,19381027,   40,    0
175640,19381028,   60,    0
175640,19381029,   80,    0
175640,19381030,   30,    0
175640,19381031,   70,    0
175640,19381101,    0,    0
175640,19381102,   70,    0
175640,19381103,   40,    0
175640,19381104,   30,    0
175640,19381105,  120,    0
175640,19381106,   80,    0
175640,19381107,   10,    0
175640,19381108,   20,    0
175640,19381109,    0,    0
175640,19381110,   50,    0
175640,19381111,   70,    0
175640,19381112,    0,    0
175640,19381113,    0,    0
