EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 23-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 BEGIN  : Begin date YYYYMMDD
 98-105 END    : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME
 5179,162468,ALNARP FRUKTAVDELNING                   ,SE,+55:39:36,+013:05:24,  10, TG6,19610101,19700630,   56,Marcus Flarup                                     
 5895,135162,MALMO A                                 ,SE,+55:34:17,+013:04:24,  20, TG6,19900101,20210331,   56,Marcus Flarup                                     
 5895,135165,MALMO                                   ,SE,+55:36:36,+013:04:48,  20, TG6,19400102,19891231,   56,Marcus Flarup                                     
 5895,135171,MALMO_2                                 ,SE,+55:36:00,+012:58:48,   3, TG6,19170322,19640430,   56,Marcus Flarup                                     
 5895,135177,ALNARP                                  ,SE,+55:39:00,+013:04:48,  10, TG6,19450101,19690228,   56,Marcus Flarup                                     
 5895,162468,ALNARP FRUKTAVDELNING                   ,SE,+55:39:36,+013:05:24,  10, TG6,19610101,19700630,   56,Marcus Flarup                                     
 3509,135164,MALMO A                                 ,SE,+55:34:17,+013:04:24,  20, TN2,19900101,20210331,   56,Marcus Flarup                                     
 3509,135167,MALMO                                   ,SE,+55:36:36,+013:04:48,  20, TN2,19260605,19891231,   56,Marcus Flarup                                     
 3509,135173,MALMO_2                                 ,SE,+55:36:00,+012:58:48,   3, TN2,19170322,19640430,   56,Marcus Flarup                                     
 5175,135164,MALMO A                                 ,SE,+55:34:17,+013:04:24,  20, TN2,19900101,20210331,   56,Marcus Flarup                                     
 5175,135167,MALMO                                   ,SE,+55:36:36,+013:04:48,  20, TN2,19260605,19891231,   56,Marcus Flarup                                     
 5175,135173,MALMO_2                                 ,SE,+55:36:00,+012:58:48,   3, TN2,19170322,19640430,   56,Marcus Flarup                                     
 5175,135179,ALNARP                                  ,SE,+55:39:00,+013:04:48,  10, TN2,19450101,19690228,   56,Marcus Flarup                                     
 5177,135164,MALMO A                                 ,SE,+55:34:17,+013:04:24,  20, TN2,19900101,20210331,   56,Marcus Flarup                                     
 5177,135167,MALMO                                   ,SE,+55:36:36,+013:04:48,  20, TN2,19260605,19891231,   56,Marcus Flarup                                     
 5177,135170,OSKARSGRUNDET_NO                        ,SE,+55:36:00,+012:51:36,   1, TN2,19850501,19990617,   56,Marcus Flarup                                     
 5177,135173,MALMO_2                                 ,SE,+55:36:00,+012:58:48,   3, TN2,19170322,19640430,   56,Marcus Flarup                                     
 5179,135164,MALMO A                                 ,SE,+55:34:17,+013:04:24,  20, TN2,19900101,20210331,   56,Marcus Flarup                                     
 5179,135167,MALMO                                   ,SE,+55:36:36,+013:04:48,  20, TN2,19260605,19891231,   56,Marcus Flarup                                     
 5179,135173,MALMO_2                                 ,SE,+55:36:00,+012:58:48,   3, TN2,19170322,19640430,   56,Marcus Flarup                                     
 5179,135179,ALNARP                                  ,SE,+55:39:00,+013:04:48,  10, TN2,19450101,19690228,   56,Marcus Flarup                                     
 5179,162467,ALNARP FRUKTAVDELNING                   ,SE,+55:39:36,+013:05:24,  10, TN2,19610101,19700630,   56,Marcus Flarup                                     
 5895,135164,MALMO A                                 ,SE,+55:34:17,+013:04:24,  20, TN2,19900101,20210331,   56,Marcus Flarup                                     
 5895,135167,MALMO                                   ,SE,+55:36:36,+013:04:48,  20, TN2,19260605,19891231,   56,Marcus Flarup                                     
 5895,135173,MALMO_2                                 ,SE,+55:36:00,+012:58:48,   3, TN2,19170322,19640430,   56,Marcus Flarup                                     
 5895,135179,ALNARP                                  ,SE,+55:39:00,+013:04:48,  10, TN2,19450101,19690228,   56,Marcus Flarup                                     
 5895,162467,ALNARP FRUKTAVDELNING                   ,SE,+55:39:36,+013:05:24,  10, TN2,19610101,19700630,   56,Marcus Flarup                                     
 3509,137534,MALMO A                                 ,SE,+55:34:17,+013:04:24,  20, RR9,19951101,20210331,   56,Marcus Flarup                                     
 3509,137536,MALMO                                   ,SE,+55:36:36,+013:04:48,  20, RR9,19260601,20210225,   56,Marcus Flarup                                     
 3509,137542,MALMO_2                                 ,SE,+55:36:00,+012:58:48,   3, RR9,19170322,19921031,   56,Marcus Flarup                                     
 3509,137558,ALNARP FRUKTAVDELNING                   ,SE,+55:39:36,+013:05:24,  10, RR9,19450101,19960531,   56,Marcus Flarup                                     
 5175,137534,MALMO A                                 ,SE,+55:34:17,+013:04:24,  20, RR9,19951101,20210331,   56,Marcus Flarup                                     
 5175,137536,MALMO                                   ,SE,+55:36:36,+013:04:48,  20, RR9,19260601,20210225,   56,Marcus Flarup                                     
 5175,137542,MALMO_2                                 ,SE,+55:36:00,+012:58:48,   3, RR9,19170322,19921031,   56,Marcus Flarup                                     
 5175,137554,ALNARP                                  ,SE,+55:39:00,+013:04:48,  10, RR9,19450101,19690228,   56,Marcus Flarup                                     
 5175,137558,ALNARP FRUKTAVDELNING                   ,SE,+55:39:36,+013:05:24,  10, RR9,19450101,19960531,   56,Marcus Flarup                                     
 5177,137534,MALMO A                                 ,SE,+55:34:17,+013:04:24,  20, RR9,19951101,20210331,   56,Marcus Flarup                                     
 5177,137536,MALMO                                   ,SE,+55:36:36,+013:04:48,  20, RR9,19260601,20210225,   56,Marcus Flarup                                     
