EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 23-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 DD   : daily Wind direction in degrees
23-27 Q_DD : quality code for DD (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, MALMO (STAID: 5175).
Blended and updated with sources: 158055 158429 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   DD, Q_DD
158429,19470803,  230,    0
158429,19470804,  320,    0
158429,19470805,  250,    0
158429,19470806,  230,    0
158429,19470807,  320,    0
158429,19470808,  320,    0
158429,19470809,  320,    0
158429,19470810,   20,    0
158429,19470811,  340,    0
158429,19470812,  320,    0
158429,19470813,  340,    0
158429,19470814,  360,    0
158429,19470815,  320,    0
158429,19470816,  320,    0
158429,19470817,  340,    0
158429,19470818,   70,    0
158429,19470819,  360,    0
158429,19470820,  340,    0
158429,19470821,   90,    0
158429,19470822,   90,    0
158429,19470823,   50,    0
158429,19470824,   90,    0
158429,19470825,   50,    0
158429,19470826,  320,    0
158429,19470827,  290,    0
158429,19470828,   50,    0
158429,19470829,   50,    0
158429,19470830,  320,    0
158429,19470831,  320,    0
158429,19470901,   50,    0
158429,19470902,  320,    0
158429,19470903,   90,    0
158429,19470904,  320,    0
158429,19470905,  320,    0
158429,19470906,  250,    0
158429,19470907,  230,    0
158429,19470908,  230,    0
158429,19470909,  270,    0
158429,19470910,  270,    0
158429,19470911,  270,    0
158429,19470912,  200,    0
158429,19470913,  200,    0
158429,19470914,  270,    0
158429,19470915,  250,    0
158429,19470916,  170,    0
158429,19470917,  320,    0
158429,19470918,  360,    0
158429,19470919,  110,    0
158429,19470920,  110,    0
158429,19470921,  290,    0
158429,19470922,  360,    0
158429,19470923,  250,    0
158429,19470924,   70,    0
158429,19470925,  320,    0
158429,19470926,  360,    0
158429,19470927,  320,    0
158429,19470928,  250,    0
158429,19470929,  270,    0
158429,19470930,  340,    0
158429,19471001,  290,    0
158429,19471002,  340,    0
158429,19471003,  250,    0
158429,19471004,  320,    0
158429,19471005,  320,    0
158429,19471006,  230,    0
158429,19471007,  290,    0
158429,19471008,  160,    0
158429,19471009,  180,    0
158429,19471010,  200,    0
158429,19471011,  290,    0
