EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 26-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 FX   : daily Wind gust in 0.1 m/s
23-27 Q_FX : quality code for FX (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, MUENCHEN (STAID: 52).
Blended and updated with sources: 115787 910865 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   FX, Q_FX
115787,19541217,-9999,    9
115787,19541218,-9999,    9
115787,19541219,-9999,    9
115787,19541220,-9999,    9
115787,19541221,-9999,    9
115787,19541222,-9999,    9
115787,19541223,-9999,    9
115787,19541224,-9999,    9
115787,19541225,-9999,    9
115787,19541226,-9999,    9
115787,19541227,-9999,    9
115787,19541228,-9999,    9
115787,19541229,-9999,    9
115787,19541230,-9999,    9
115787,19541231,-9999,    9
115787,19550101,-9999,    9
115787,19550102,-9999,    9
115787,19550103,-9999,    9
115787,19550104,-9999,    9
115787,19550105,-9999,    9
115787,19550106,-9999,    9
115787,19550107,-9999,    9
115787,19550108,-9999,    9
115787,19550109,-9999,    9
115787,19550110,-9999,    9
115787,19550111,-9999,    9
115787,19550112,-9999,    9
115787,19550113,-9999,    9
115787,19550114,-9999,    9
115787,19550115,-9999,    9
115787,19550116,-9999,    9
115787,19550117,-9999,    9
115787,19550118,-9999,    9
115787,19550119,-9999,    9
115787,19550120,-9999,    9
115787,19550121,-9999,    9
115787,19550122,-9999,    9
115787,19550123,-9999,    9
115787,19550124,-9999,    9
115787,19550125,-9999,    9
115787,19550126,-9999,    9
115787,19550127,-9999,    9
115787,19550128,-9999,    9
115787,19550129,-9999,    9
115787,19550130,-9999,    9
115787,19550131,-9999,    9
115787,19550201,-9999,    9
115787,19550202,-9999,    9
115787,19550203,-9999,    9
115787,19550204,-9999,    9
115787,19550205,-9999,    9
115787,19550206,-9999,    9
115787,19550207,-9999,    9
115787,19550208,-9999,    9
115787,19550209,-9999,    9
115787,19550210,-9999,    9
115787,19550211,-9999,    9
115787,19550212,-9999,    9
115787,19550213,-9999,    9
115787,19550214,-9999,    9
115787,19550215,-9999,    9
115787,19550216,-9999,    9
115787,19550217,-9999,    9
115787,19550218,-9999,    9
115787,19550219,-9999,    9
115787,19550220,-9999,    9
115787,19550221,-9999,    9
115787,19550222,-9999,    9
115787,19550223,-9999,    9
115787,19550224,-9999,    9
115787,19550225,-9999,    9
115787,19550226,-9999,    9
115787,19550227,-9999,    9
115787,19550228,-9999,    9
115787,19550301,-9999,    9
115787,19550302,-9999,    9
115787,19550303,-9999,    9
115787,19550304,-9999,    9
115787,19550305,-9999,    9
115787,19550306,-9999,    9
115787,19550307,-9999,    9
115787,19550308,-9999,    9
115787,19550309,-9999,    9
115787,19550310,-9999,    9
115787,19550311,-9999,    9
115787,19550312,-9999,    9
115787,19550313,-9999,    9
115787,19550314,-9999,    9
115787,19550315,-9999,    9
115787,19550316,-9999,    9
115787,19550317,-9999,    9
115787,19550318,-9999,    9
115787,19550319,-9999,    9
115787,19550320,-9999,    9
115787,19550321,-9999,    9
115787,19550322,-9999,    9
115787,19550323,-9999,    9
115787,19550324,-9999,    9
115787,19550325,-9999,    9
115787,19550326,-9999,    9
115787,19550327,-9999,    9
115787,19550328,-9999,    9
115787,19550329,-9999,    9
115787,19550330,-9999,    9
115787,19550331,-9999,    9
115787,19550401,-9999,    9
115787,19550402,-9999,    9
115787,19550403,-9999,    9
115787,19550404,-9999,    9
115787,19550405,-9999,    9
115787,19550406,-9999,    9
115787,19550407,-9999,    9
115787,19550408,-9999,    9
115787,19550409,-9999,    9
115787,19550410,-9999,    9
115787,19550411,-9999,    9
115787,19550412,-9999,    9
115787,19550413,-9999,    9
115787,19550414,-9999,    9
115787,19550415,-9999,    9
115787,19550416,-9999,    9
115787,19550417,-9999,    9
115787,19550418,-9999,    9
115787,19550419,-9999,    9
115787,19550420,-9999,    9
115787,19550421,-9999,    9
115787,19550422,-9999,    9
115787,19550423,-9999,    9
115787,19550424,-9999,    9
115787,19550425,-9999,    9
115787,19550426,-9999,    9
115787,19550427,-9999,    9
115787,19550428,-9999,    9
115787,19550429,-9999,    9
115787,19550430,-9999,    9
115787,19550501,-9999,    9
115787,19550502,-9999,    9
115787,19550503,-9999,    9
115787,19550504,-9999,    9
115787,19550505,-9999,    9
115787,19550506,-9999,    9
115787,19550507,-9999,    9
115787,19550508,-9999,    9
115787,19550509,-9999,    9
115787,19550510,-9999,    9
115787,19550511,-9999,    9
115787,19550512,-9999,    9
115787,19550513,-9999,    9
115787,19550514,-9999,    9
115787,19550515,-9999,    9
115787,19550516,-9999,    9
115787,19550517,-9999,    9
115787,19550518,-9999,    9
115787,19550519,-9999,    9
